,time,Process Creation,Authorization Policy Change,Process Termination,Logoff,Special Logon,Logon,Removable Storage,Sensitive Privilege Use,File System,File Share,Detailed File Share,Registry,Security Group Management,Security State Change,Other Logon/Logoff Events,Security System Extension
0,2016-08-25 18:58:52.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2016-08-25 21:39:25.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016-08-25 22:26:36.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,2016-08-25 23:32:36.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2016-08-26 00:18:04.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2016-08-26 02:26:07.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,2016-08-26 03:06:59.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016-08-26 05:28:54.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,2016-08-26 05:50:10.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,2016-08-26 06:25:13.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,2016-08-26 08:06:29.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,2016-08-26 08:07:49.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,2016-08-26 08:10:39.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,2016-08-26 08:11:50.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,2016-08-26 08:37:40.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2016-08-26 10:12:29.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,2016-08-26 10:53:41.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2016-08-26 10:58:39.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,2016-08-26 11:10:15.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,2016-08-26 11:24:14.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,2016-08-26 11:41:35.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,2016-08-26 12:02:05.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,2016-08-26 13:33:23.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2016-08-26 16:01:26.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,2016-08-26 16:09:46.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,2016-08-26 16:18:01.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2016-08-26 16:50:13.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2016-08-26 17:13:01.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,2016-08-26 18:12:26.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2016-08-26 23:07:27.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2016-08-26 23:19:22.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2016-08-27 00:05:02.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2016-08-27 00:31:24.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,2016-08-27 00:57:34.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2016-08-27 01:02:37.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2016-08-27 01:19:26.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,2016-08-27 02:31:27.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,2016-08-27 05:35:32.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2016-08-27 07:23:20.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39,2016-08-27 08:32:33.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
40,2016-08-27 09:00:49.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,2016-08-27 09:05:08.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2016-08-27 10:01:38.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2016-08-27 11:07:24.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44,2016-08-27 12:01:12.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2016-08-27 15:15:02.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,2016-08-27 17:07:02.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2016-08-27 20:28:47.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
48,2016-08-27 22:09:13.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2016-08-27 22:50:34.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,2016-08-28 00:00:14.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2016-08-28 00:19:35.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2016-08-28 00:28:20.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,2016-08-28 01:32:52.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2016-08-28 02:17:26.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
55,2016-08-28 03:50:15.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
56,2016-08-28 07:39:14.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
57,2016-08-28 08:15:05.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
58,2016-08-28 09:16:04.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59,2016-08-28 09:33:02.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2016-08-28 10:18:24.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
61,2016-08-28 11:04:19.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2016-08-28 11:52:13.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
63,2016-08-28 13:05:06.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
64,2016-08-28 13:25:01.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2016-08-28 14:21:33.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
66,2016-08-28 14:26:13.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2016-08-28 16:27:40.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2016-08-28 16:39:54.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
69,2016-08-28 17:22:42.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
