,time,Process Creation,Authorization Policy Change,Process Termination,Logoff,Special Logon,Logon,Removable Storage,Sensitive Privilege Use,File System,File Share,Detailed File Share,Registry,Security Group Management,Security State Change,Other Logon/Logoff Events,Security System Extension
0,2016-08-25 19:12:46.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2016-08-25 19:41:00.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016-08-25 22:10:24.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,2016-08-26 00:36:23.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2016-08-26 02:34:46.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,2016-08-26 04:14:37.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2016-08-26 04:25:55.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,2016-08-26 05:47:53.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016-08-26 06:17:59.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,2016-08-26 06:22:47.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2016-08-26 08:33:37.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2016-08-26 08:44:17.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,2016-08-26 09:33:37.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,2016-08-26 09:40:32.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,2016-08-26 09:41:12.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,2016-08-26 09:42:22.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,2016-08-26 12:39:06.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2016-08-26 14:29:56.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,2016-08-26 14:57:05.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,2016-08-26 15:34:57.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,2016-08-26 17:51:41.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2016-08-26 18:42:05.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2016-08-26 18:47:08.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2016-08-26 20:09:48.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,2016-08-26 21:34:31.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,2016-08-26 23:08:25.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2016-08-26 23:28:25.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,2016-08-26 23:31:40.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2016-08-27 05:41:29.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2016-08-27 05:57:09.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,2016-08-27 06:12:05.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2016-08-27 10:41:24.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,2016-08-27 10:53:32.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2016-08-27 11:35:47.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,2016-08-27 12:51:44.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35,2016-08-27 13:18:18.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,2016-08-27 16:33:05.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2016-08-27 16:58:12.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,2016-08-27 17:09:37.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39,2016-08-27 18:25:35.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,2016-08-27 18:58:41.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2016-08-27 19:46:50.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42,2016-08-27 22:35:47.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,2016-08-27 22:52:32.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44,2016-08-27 23:43:10.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,2016-08-28 00:42:58.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2016-08-28 01:56:36.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2016-08-28 02:23:30.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2016-08-28 04:50:38.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2016-08-28 05:23:27.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2016-08-28 08:23:20.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,2016-08-28 09:47:25.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52,2016-08-28 10:25:53.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2016-08-28 10:59:16.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2016-08-28 11:26:50.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
55,2016-08-28 14:46:55.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
56,2016-08-28 14:47:25.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,2016-08-28 16:15:57.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
58,2016-08-28 16:44:29.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2016-08-28 17:39:29.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
60,2016-08-28 17:53:09.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
