,time,Process Creation,Authorization Policy Change,Process Termination,Logoff,Special Logon,Logon,Removable Storage,Sensitive Privilege Use,File System,File Share,Detailed File Share,Registry,Security Group Management,Security State Change,Other Logon/Logoff Events,Security System Extension
0,2016-08-25 19:15:19.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2016-08-25 21:53:16.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016-08-25 22:43:44.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,2016-08-25 23:25:04.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2016-08-25 23:46:37.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2016-08-26 01:18:43.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2016-08-26 01:30:57.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016-08-26 01:55:33.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,2016-08-26 02:53:04.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2016-08-26 03:36:49.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,2016-08-26 10:43:47.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,2016-08-26 11:02:26.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,2016-08-26 13:54:44.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,2016-08-26 14:54:10.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2016-08-26 18:17:31.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,2016-08-26 18:19:48.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2016-08-26 19:02:09.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2016-08-26 19:21:27.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,2016-08-26 22:15:08.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,2016-08-26 23:38:21.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,2016-08-27 00:34:55.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2016-08-27 00:40:37.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,2016-08-27 02:23:35.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,2016-08-27 05:42:56.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,2016-08-27 06:24:13.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2016-08-27 10:24:39.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,2016-08-27 12:10:26.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,2016-08-27 13:41:14.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2016-08-27 14:32:16.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,2016-08-27 17:18:47.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,2016-08-27 17:24:12.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,2016-08-27 17:53:38.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2016-08-27 18:39:09.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33,2016-08-27 19:13:46.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,2016-08-27 20:05:56.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2016-08-27 20:24:41.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2016-08-27 20:26:47.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,2016-08-27 20:48:55.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
38,2016-08-27 21:10:41.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2016-08-27 21:45:32.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2016-08-27 21:58:41.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,2016-08-28 00:00:34.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2016-08-28 02:09:37.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,2016-08-28 03:05:50.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44,2016-08-28 03:24:18.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,2016-08-28 04:15:15.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
