,time,Process Creation,Authorization Policy Change,Process Termination,Logoff,Special Logon,Logon,Removable Storage,Sensitive Privilege Use,File System,File Share,Detailed File Share,Registry,Security Group Management,Security State Change,Other Logon/Logoff Events,Security System Extension
0,2016-08-25 21:00:40.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2016-08-25 21:13:50.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,2016-08-26 01:34:18.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,2016-08-26 01:45:33.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,2016-08-26 01:45:41.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,2016-08-26 02:06:51.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,2016-08-26 04:54:33.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,2016-08-26 06:18:36.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016-08-26 07:03:17.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2016-08-26 07:59:02.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2016-08-26 08:13:27.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,2016-08-26 09:30:21.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,2016-08-26 10:41:42.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,2016-08-26 10:52:01.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2016-08-26 12:11:24.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,2016-08-26 12:40:40.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,2016-08-26 16:10:55.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,2016-08-26 16:29:24.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,2016-08-26 17:10:39.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,2016-08-26 17:29:04.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,2016-08-26 19:26:39.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2016-08-26 19:50:52.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,2016-08-27 00:05:13.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,2016-08-27 00:08:28.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2016-08-27 04:10:02.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2016-08-27 07:27:49.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,2016-08-27 08:01:53.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2016-08-27 08:23:54.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2016-08-27 09:19:10.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,2016-08-27 09:53:14.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,2016-08-27 11:45:47.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,2016-08-27 14:28:26.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2016-08-27 14:49:19.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2016-08-27 16:31:31.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2016-08-27 17:37:17.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2016-08-27 17:40:16.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,2016-08-27 20:15:01.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,2016-08-27 21:59:12.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,2016-08-27 22:06:47.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2016-08-27 23:20:29.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2016-08-27 23:37:25.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,2016-08-27 23:55:44.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2016-08-28 01:04:47.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2016-08-28 02:19:46.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2016-08-28 03:32:32.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,2016-08-28 04:17:51.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,2016-08-28 04:50:15.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
47,2016-08-28 06:48:15.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,2016-08-28 09:55:03.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
49,2016-08-28 10:49:36.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,2016-08-28 11:20:47.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,2016-08-28 13:06:15.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52,2016-08-28 13:36:42.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,2016-08-28 15:35:45.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2016-08-28 16:11:04.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
