,time,Process Creation,Authorization Policy Change,Process Termination,Logoff,Special Logon,Logon,Removable Storage,Sensitive Privilege Use,File System,File Share,Detailed File Share,Registry,Security Group Management,Security State Change,Other Logon/Logoff Events,Security System Extension
0,2016-08-25 18:54:25.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2016-08-25 21:40:44.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,2016-08-25 23:57:33.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2016-08-26 00:07:58.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,2016-08-26 00:32:15.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,2016-08-26 01:31:31.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2016-08-26 01:51:49.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016-08-26 03:06:38.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,2016-08-26 03:21:12.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,2016-08-26 04:04:53.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2016-08-26 04:31:20.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2016-08-26 05:49:44.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2016-08-26 06:21:38.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2016-08-26 07:40:27.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2016-08-26 08:44:00.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,2016-08-26 10:03:48.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2016-08-26 10:25:39.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2016-08-26 15:34:26.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2016-08-26 16:30:09.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,2016-08-26 19:16:13.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2016-08-26 19:37:06.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,2016-08-26 20:41:21.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2016-08-26 20:45:11.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2016-08-26 22:24:18.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2016-08-26 22:30:15.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2016-08-26 22:39:32.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,2016-08-27 01:21:06.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2016-08-27 02:10:27.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
