,time,Process Creation,Authorization Policy Change,Process Termination,Logoff,Special Logon,Logon,Removable Storage,Sensitive Privilege Use,File System,File Share,Detailed File Share,Registry,Security Group Management,Security State Change,Other Logon/Logoff Events,Security System Extension
0,2016-08-25 20:38:10.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2016-08-25 21:10:48.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016-08-25 21:27:23.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,2016-08-25 21:56:28.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,2016-08-25 23:16:42.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2016-08-26 00:52:24.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2016-08-26 01:19:51.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016-08-26 02:25:30.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016-08-26 03:18:28.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,2016-08-26 03:21:23.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2016-08-26 03:30:54.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,2016-08-26 03:48:59.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2016-08-26 06:34:04.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,2016-08-26 07:03:43.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,2016-08-26 07:11:20.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,2016-08-26 08:51:57.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,2016-08-26 13:32:25.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,2016-08-26 15:54:04.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,2016-08-26 16:56:30.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2016-08-26 18:08:02.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,2016-08-26 18:50:42.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,2016-08-26 19:15:10.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2016-08-26 22:23:00.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,2016-08-26 23:11:17.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2016-08-26 23:43:45.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,2016-08-27 02:12:24.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,2016-08-27 04:59:20.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,2016-08-27 05:14:30.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2016-08-27 05:44:00.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,2016-08-27 05:53:01.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2016-08-27 05:58:11.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,2016-08-27 06:02:23.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,2016-08-27 06:09:22.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2016-08-27 06:19:31.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
