,time,Process Creation,Authorization Policy Change,Process Termination,Logoff,Special Logon,Logon,Removable Storage,Sensitive Privilege Use,File System,File Share,Detailed File Share,Registry,Security Group Management,Security State Change,Other Logon/Logoff Events,Security System Extension
0,2016-08-25 20:53:33.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2016-08-26 01:17:09.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,2016-08-26 01:24:13.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2016-08-26 04:52:08.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2016-08-26 05:01:37.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2016-08-26 05:31:37.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2016-08-26 07:36:50.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016-08-26 08:59:59.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016-08-26 10:41:09.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2016-08-26 10:58:27.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,2016-08-26 11:06:55.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,2016-08-26 11:54:04.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,2016-08-26 12:29:11.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,2016-08-26 13:24:16.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2016-08-26 13:33:08.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,2016-08-26 14:25:52.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,2016-08-26 14:31:58.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,2016-08-26 15:34:00.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,2016-08-26 15:52:33.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,2016-08-26 16:16:08.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2016-08-26 16:33:43.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2016-08-26 20:06:57.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2016-08-27 00:19:36.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2016-08-27 00:41:13.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,2016-08-27 00:59:52.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,2016-08-27 01:58:07.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2016-08-27 02:34:47.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2016-08-27 05:12:53.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2016-08-27 06:23:45.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2016-08-27 09:20:59.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,2016-08-27 11:17:37.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,2016-08-27 13:56:50.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
