,time,Process Creation,Authorization Policy Change,Process Termination,Logoff,Special Logon,Logon,Removable Storage,Sensitive Privilege Use,File System,File Share,Detailed File Share,Registry,Security Group Management,Security State Change,Other Logon/Logoff Events,Security System Extension
0,2016-08-25 19:09:25.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,2016-08-25 20:36:52.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016-08-25 21:23:55.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2016-08-25 21:55:44.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,2016-08-26 00:55:12.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,2016-08-26 01:45:02.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2016-08-26 01:45:48.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016-08-26 01:52:48.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,2016-08-26 03:25:33.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,2016-08-26 04:22:27.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,2016-08-26 04:32:23.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2016-08-26 05:01:22.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2016-08-26 05:47:38.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,2016-08-26 07:22:35.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,2016-08-26 08:11:06.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2016-08-26 08:40:23.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,2016-08-26 10:18:57.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,2016-08-26 11:45:52.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2016-08-26 12:16:44.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,2016-08-26 12:24:59.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,2016-08-26 12:45:29.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,2016-08-26 14:09:47.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,2016-08-26 15:58:41.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2016-08-26 16:29:29.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2016-08-26 18:05:05.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,2016-08-26 19:36:25.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,2016-08-27 00:03:32.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,2016-08-27 00:19:41.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,2016-08-27 01:34:47.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,2016-08-27 03:05:13.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2016-08-27 05:21:02.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,2016-08-27 09:08:00.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2016-08-27 10:46:49.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2016-08-27 11:01:08.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,2016-08-27 11:35:00.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35,2016-08-27 13:19:09.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2016-08-27 14:19:29.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,2016-08-27 15:27:37.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2016-08-27 16:43:11.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39,2016-08-27 18:27:04.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
40,2016-08-27 18:37:05.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,2016-08-27 18:48:29.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42,2016-08-27 18:56:18.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
43,2016-08-27 23:39:35.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44,2016-08-28 01:13:26.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,2016-08-28 03:21:28.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,2016-08-28 04:20:09.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
47,2016-08-28 14:51:54.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2016-08-28 17:38:54.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
49,2016-08-28 17:56:42.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
