,time,Process Creation,Authorization Policy Change,Process Termination,Logoff,Special Logon,Logon,Removable Storage,Sensitive Privilege Use,File System,File Share,Detailed File Share,Registry,Security Group Management,Security State Change,Other Logon/Logoff Events,Security System Extension
0,2016-08-25 19:45:48.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2016-08-25 19:57:10.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,2016-08-25 20:25:49.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,2016-08-25 22:39:25.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,2016-08-26 00:02:24.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,2016-08-26 03:22:26.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2016-08-26 03:39:04.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016-08-26 03:59:58.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016-08-26 06:41:29.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2016-08-26 07:58:35.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2016-08-26 10:41:30.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2016-08-26 12:12:15.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,2016-08-26 12:20:15.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2016-08-26 12:25:01.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,2016-08-26 13:32:18.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,2016-08-26 14:44:36.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,2016-08-26 14:52:43.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,2016-08-26 14:59:02.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,2016-08-26 15:14:52.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,2016-08-26 16:55:43.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,2016-08-26 17:42:56.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,2016-08-26 17:58:22.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,2016-08-26 18:11:16.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2016-08-26 19:49:20.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2016-08-26 20:56:57.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2016-08-26 21:56:20.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,2016-08-27 00:50:59.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2016-08-27 03:36:51.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,2016-08-27 04:06:37.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2016-08-27 04:29:42.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2016-08-27 05:38:11.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2016-08-27 07:36:28.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,2016-08-27 08:24:56.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33,2016-08-27 08:38:06.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2016-08-27 10:27:52.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35,2016-08-27 10:29:02.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,2016-08-27 10:36:50.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2016-08-27 10:59:32.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
38,2016-08-27 12:28:08.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39,2016-08-27 14:58:19.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
40,2016-08-27 19:28:52.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2016-08-28 00:00:02.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2016-08-28 08:26:10.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2016-08-28 09:26:04.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44,2016-08-28 09:48:31.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2016-08-28 10:25:49.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2016-08-28 10:30:46.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,2016-08-28 12:36:20.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,2016-08-28 13:51:00.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,2016-08-28 14:29:47.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,2016-08-28 15:56:07.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2016-08-28 16:14:06.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2016-08-28 16:36:48.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2016-08-28 17:54:20.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
