,time,Process Creation,Authorization Policy Change,Process Termination,Logoff,Special Logon,Logon,Removable Storage,Sensitive Privilege Use,File System,File Share,Detailed File Share,Registry,Security Group Management,Security State Change,Other Logon/Logoff Events,Security System Extension
0,2016-08-25 19:49:29.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2016-08-25 21:09:38.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,2016-08-25 22:09:44.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,2016-08-25 23:43:56.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,2016-08-25 23:46:24.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,2016-08-25 23:58:46.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,2016-08-26 00:37:07.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016-08-26 00:42:29.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,2016-08-26 01:03:58.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,2016-08-26 01:19:31.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,2016-08-26 02:17:25.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,2016-08-26 03:09:35.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2016-08-26 07:01:27.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,2016-08-26 08:12:16.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,2016-08-26 09:39:23.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2016-08-26 10:05:12.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,2016-08-26 16:44:15.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2016-08-26 16:59:56.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2016-08-26 21:34:15.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,2016-08-26 22:27:10.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,2016-08-26 23:06:58.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,2016-08-26 23:48:10.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,2016-08-26 23:54:53.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2016-08-27 04:07:58.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,2016-08-27 05:47:27.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,2016-08-27 06:11:11.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,2016-08-27 09:04:20.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,2016-08-27 09:47:31.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2016-08-27 10:23:59.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,2016-08-27 10:29:28.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,2016-08-27 11:07:04.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,2016-08-27 12:06:51.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,2016-08-27 13:33:02.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2016-08-27 14:13:01.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2016-08-27 15:40:51.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2016-08-27 17:23:10.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2016-08-27 17:44:51.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,2016-08-27 19:11:41.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,2016-08-27 19:13:06.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39,2016-08-27 20:56:31.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2016-08-27 22:12:54.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,2016-08-27 23:58:03.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,2016-08-28 00:36:27.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2016-08-28 01:26:44.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2016-08-28 01:40:49.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,2016-08-28 04:22:42.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2016-08-28 04:41:38.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
47,2016-08-28 04:53:35.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2016-08-28 06:58:04.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2016-08-28 08:36:28.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,2016-08-28 09:22:39.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2016-08-28 10:03:43.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
52,2016-08-28 10:08:52.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,2016-08-28 10:55:07.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,2016-08-28 11:06:33.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,2016-08-28 14:12:52.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
56,2016-08-28 14:28:03.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
57,2016-08-28 16:47:53.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2016-08-28 17:49:16.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
