,time,Process Creation,Authorization Policy Change,Process Termination,Logoff,Special Logon,Logon,Removable Storage,Sensitive Privilege Use,File System,File Share,Detailed File Share,Registry,Security Group Management,Security State Change,Other Logon/Logoff Events,Security System Extension
0,2016-08-25 20:04:14.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2016-08-25 20:19:04.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016-08-25 23:56:53.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,2016-08-26 00:26:48.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,2016-08-26 00:42:33.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,2016-08-26 01:12:33.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2016-08-26 01:47:17.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016-08-26 05:11:21.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,2016-08-26 05:36:52.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,2016-08-26 06:34:41.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,2016-08-26 07:10:20.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,2016-08-26 07:35:13.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,2016-08-26 09:23:54.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,2016-08-26 10:11:15.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2016-08-26 11:38:24.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,2016-08-26 14:24:04.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,2016-08-26 15:57:39.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,2016-08-26 16:13:58.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,2016-08-26 16:26:34.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2016-08-26 16:43:34.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,2016-08-26 16:45:27.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2016-08-26 17:47:00.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,2016-08-26 18:58:21.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2016-08-26 19:45:42.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,2016-08-26 21:37:20.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,2016-08-26 22:04:06.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2016-08-26 23:06:40.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2016-08-27 00:52:57.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,2016-08-27 05:05:35.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2016-08-27 05:13:18.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,2016-08-27 06:27:16.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,2016-08-27 07:13:38.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
