,time,Process Creation,Authorization Policy Change,Process Termination,Logoff,Special Logon,Logon,Removable Storage,Sensitive Privilege Use,File System,File Share,Detailed File Share,Registry,Security Group Management,Security State Change,Other Logon/Logoff Events,Security System Extension
0,2016-08-25 19:14:36.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2016-08-25 20:56:12.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,2016-08-25 22:18:24.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2016-08-25 23:25:24.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2016-08-26 00:15:20.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,2016-08-26 01:21:50.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,2016-08-26 02:05:38.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,2016-08-26 03:31:14.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,2016-08-26 04:44:36.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,2016-08-26 06:16:50.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,2016-08-26 06:31:53.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2016-08-26 06:49:41.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,2016-08-26 07:16:25.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,2016-08-26 07:41:54.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2016-08-26 07:48:36.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2016-08-26 10:45:06.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,2016-08-26 10:50:36.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,2016-08-26 11:32:54.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
