,time,Process Creation,Authorization Policy Change,Process Termination,Logoff,Special Logon,Logon,Removable Storage,Sensitive Privilege Use,File System,File Share,Detailed File Share,Registry,Security Group Management,Security State Change,Other Logon/Logoff Events,Security System Extension
0,2016-08-25 20:02:13.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2016-08-25 20:30:11.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,2016-08-25 23:43:24.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,2016-08-26 00:05:44.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,2016-08-26 00:11:41.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2016-08-26 00:13:05.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,2016-08-26 00:50:24.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016-08-26 01:02:27.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016-08-26 01:34:36.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2016-08-26 02:50:14.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2016-08-26 05:07:57.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,2016-08-26 07:18:23.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,2016-08-26 07:28:19.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,2016-08-26 08:11:45.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,2016-08-26 08:47:08.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,2016-08-26 08:54:57.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,2016-08-26 10:07:57.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,2016-08-26 10:18:31.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,2016-08-26 16:20:12.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,2016-08-26 16:37:31.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,2016-08-26 18:53:47.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2016-08-26 19:06:47.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,2016-08-26 19:47:54.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,2016-08-26 20:30:55.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2016-08-26 20:51:20.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2016-08-26 22:50:28.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,2016-08-26 22:54:22.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,2016-08-26 23:07:01.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2016-08-26 23:41:15.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2016-08-27 00:02:09.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2016-08-27 00:49:20.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2016-08-27 02:47:39.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,2016-08-27 04:33:14.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2016-08-27 06:00:45.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,2016-08-27 06:23:34.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2016-08-27 06:37:08.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2016-08-27 08:23:49.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2016-08-27 12:29:07.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
38,2016-08-27 13:01:25.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2016-08-27 13:34:05.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,2016-08-27 15:12:05.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2016-08-27 15:16:16.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2016-08-27 17:00:12.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,2016-08-27 18:17:13.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,2016-08-27 21:01:30.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,2016-08-27 21:55:16.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2016-08-27 23:02:11.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,2016-08-28 00:33:11.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
48,2016-08-28 00:49:02.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
49,2016-08-28 00:56:43.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,2016-08-28 01:18:26.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,2016-08-28 01:54:55.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,2016-08-28 02:15:24.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2016-08-28 02:46:57.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
54,2016-08-28 03:19:26.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
