,time,Process Creation,Authorization Policy Change,Process Termination,Logoff,Special Logon,Logon,Removable Storage,Sensitive Privilege Use,File System,File Share,Detailed File Share,Registry,Security Group Management,Security State Change,Other Logon/Logoff Events,Security System Extension
0,2016-08-25 19:15:39.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,2016-08-25 19:54:06.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,2016-08-25 22:06:46.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2016-08-25 22:11:44.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,2016-08-25 23:03:40.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2016-08-26 01:58:40.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2016-08-26 02:48:24.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,2016-08-26 02:50:59.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,2016-08-26 04:46:06.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,2016-08-26 06:37:13.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2016-08-26 07:10:56.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,2016-08-26 09:40:26.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,2016-08-26 10:33:56.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,2016-08-26 10:51:58.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,2016-08-26 11:30:32.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2016-08-26 14:03:33.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,2016-08-26 15:31:28.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,2016-08-26 15:43:37.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,2016-08-26 16:38:53.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,2016-08-26 17:20:09.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2016-08-26 20:42:32.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,2016-08-26 20:55:48.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2016-08-27 00:02:14.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,2016-08-27 01:25:42.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,2016-08-27 04:15:59.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2016-08-27 05:08:45.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2016-08-27 05:53:42.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2016-08-27 06:10:55.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,2016-08-27 06:51:30.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2016-08-27 12:57:23.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2016-08-27 15:47:36.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,2016-08-27 17:06:34.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2016-08-27 17:30:41.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33,2016-08-27 18:05:31.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2016-08-27 18:16:09.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2016-08-27 19:50:26.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2016-08-27 22:04:43.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,2016-08-27 22:12:57.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
38,2016-08-28 00:28:21.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39,2016-08-28 02:45:07.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
40,2016-08-28 03:10:28.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41,2016-08-28 03:25:26.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42,2016-08-28 04:08:25.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
43,2016-08-28 07:22:37.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,2016-08-28 13:16:56.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2016-08-28 13:33:30.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,2016-08-28 17:26:10.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
47,2016-08-28 17:37:11.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2016-08-28 17:44:47.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
