,time,Process Creation,Authorization Policy Change,Process Termination,Logoff,Special Logon,Logon,Removable Storage,Sensitive Privilege Use,File System,File Share,Detailed File Share,Registry,Security Group Management,Security State Change,Other Logon/Logoff Events,Security System Extension
0,2016-08-25 20:25:56.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2016-08-25 20:31:18.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016-08-25 21:34:03.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,2016-08-25 22:36:13.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,2016-08-25 22:46:03.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,2016-08-26 00:41:43.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,2016-08-26 00:47:13.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016-08-26 01:08:11.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,2016-08-26 02:04:36.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2016-08-26 02:34:52.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2016-08-26 06:18:00.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2016-08-26 07:20:18.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,2016-08-26 08:00:48.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,2016-08-26 08:15:38.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2016-08-26 10:00:20.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2016-08-26 10:21:16.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2016-08-26 12:59:04.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2016-08-26 15:31:28.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,2016-08-26 18:25:28.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,2016-08-26 18:30:59.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,2016-08-26 18:40:14.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2016-08-26 18:41:46.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,2016-08-26 21:20:05.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2016-08-26 22:44:01.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,2016-08-26 23:49:42.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,2016-08-27 00:17:45.000 MDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,2016-08-27 01:21:08.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2016-08-27 01:33:57.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2016-08-27 03:10:29.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,2016-08-27 07:22:32.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2016-08-27 08:28:12.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2016-08-27 08:51:18.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,2016-08-27 11:06:35.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2016-08-27 12:51:06.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2016-08-27 16:51:20.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35,2016-08-27 17:43:06.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,2016-08-27 19:58:32.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2016-08-27 21:25:08.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
38,2016-08-28 01:10:48.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2016-08-28 01:20:46.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,2016-08-28 01:25:06.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41,2016-08-28 02:54:30.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2016-08-28 04:10:12.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2016-08-28 08:02:37.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44,2016-08-28 09:33:13.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,2016-08-28 13:35:22.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,2016-08-28 14:16:40.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
47,2016-08-28 14:28:56.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2016-08-28 15:06:34.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
49,2016-08-28 16:02:24.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
