,time,Process Creation,Authorization Policy Change,Process Termination,Logoff,Special Logon,Logon,Removable Storage,Sensitive Privilege Use,File System,File Share,Detailed File Share,Registry,Security Group Management,Security State Change,Other Logon/Logoff Events,Security System Extension
0,2016-08-25 20:18:01.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2016-08-25 20:52:28.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,2016-08-25 21:02:29.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2016-08-25 22:23:26.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,2016-08-26 00:12:59.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,2016-08-26 00:45:33.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2016-08-26 00:46:04.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,2016-08-26 01:15:27.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016-08-26 04:57:37.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,2016-08-26 05:46:30.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,2016-08-26 06:39:44.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,2016-08-26 07:31:04.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,2016-08-26 08:36:01.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,2016-08-26 09:46:26.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,2016-08-26 12:20:06.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2016-08-26 12:35:45.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,2016-08-26 14:48:34.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,2016-08-26 17:06:12.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2016-08-26 18:02:07.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,2016-08-26 19:03:05.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2016-08-26 19:38:13.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,2016-08-26 20:49:12.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2016-08-26 21:32:32.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2016-08-26 22:25:32.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2016-08-26 22:52:14.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,2016-08-26 23:14:34.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,2016-08-27 01:20:15.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2016-08-27 02:40:18.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2016-08-27 02:50:46.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2016-08-27 03:55:05.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,2016-08-27 03:56:53.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,2016-08-27 04:47:33.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,2016-08-27 08:19:44.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,2016-08-27 08:24:05.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,2016-08-27 09:14:23.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2016-08-27 11:19:32.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,2016-08-27 11:39:43.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2016-08-27 12:37:57.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38,2016-08-27 12:46:57.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2016-08-27 13:38:56.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
40,2016-08-27 14:01:16.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2016-08-27 14:31:18.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2016-08-27 15:43:44.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,2016-08-27 19:12:14.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2016-08-27 19:44:01.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2016-08-27 20:54:18.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2016-08-27 20:58:20.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,2016-08-27 21:57:14.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
48,2016-08-27 22:41:05.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2016-08-27 23:23:04.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,2016-08-28 00:29:56.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2016-08-28 01:49:38.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,2016-08-28 03:13:10.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,2016-08-28 05:38:01.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54,2016-08-28 08:10:34.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
55,2016-08-28 09:28:20.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
56,2016-08-28 13:13:40.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2016-08-28 14:58:50.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
