,time,Process Creation,Authorization Policy Change,Process Termination,Logoff,Special Logon,Logon,Removable Storage,Sensitive Privilege Use,File System,File Share,Detailed File Share,Registry,Security Group Management,Security State Change,Other Logon/Logoff Events,Security System Extension
0,2016-08-25 19:03:51.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2016-08-25 19:14:00.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,2016-08-25 19:52:52.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,2016-08-25 20:27:46.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2016-08-25 20:56:18.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,2016-08-26 00:35:30.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,2016-08-26 00:50:33.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,2016-08-26 02:31:17.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,2016-08-26 03:55:23.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,2016-08-26 04:17:52.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,2016-08-26 05:08:36.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2016-08-26 06:15:33.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,2016-08-26 06:57:17.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2016-08-26 10:08:05.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,2016-08-26 10:50:58.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2016-08-26 13:27:23.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2016-08-26 13:44:16.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2016-08-26 13:49:24.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2016-08-26 14:47:11.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2016-08-26 14:54:05.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,2016-08-26 14:58:35.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,2016-08-26 15:41:44.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
