,time,Process Creation,Authorization Policy Change,Process Termination,Logoff,Special Logon,Logon,Removable Storage,Sensitive Privilege Use,File System,File Share,Detailed File Share,Registry,Security Group Management,Security State Change,Other Logon/Logoff Events,Security System Extension
0,2016-08-25 19:12:03.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2016-08-25 19:43:16.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,2016-08-25 20:07:03.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,2016-08-25 20:10:24.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,2016-08-25 20:36:09.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2016-08-25 20:40:08.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2016-08-25 20:49:30.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016-08-25 21:59:55.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016-08-25 22:10:47.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2016-08-26 00:22:04.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,2016-08-26 02:14:43.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,2016-08-26 03:15:33.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,2016-08-26 04:05:21.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,2016-08-26 05:40:21.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,2016-08-26 06:27:24.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,2016-08-26 06:57:44.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2016-08-26 08:24:25.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,2016-08-26 09:40:56.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,2016-08-26 09:50:03.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,2016-08-26 10:10:56.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2016-08-26 11:22:05.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,2016-08-26 11:30:22.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2016-08-26 13:00:29.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,2016-08-26 13:35:33.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,2016-08-26 13:45:23.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,2016-08-26 15:29:23.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2016-08-26 20:02:32.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2016-08-26 23:10:12.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,2016-08-26 23:39:27.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,2016-08-27 00:02:46.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,2016-08-27 00:35:26.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,2016-08-27 02:40:15.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,2016-08-27 02:43:13.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33,2016-08-27 03:58:23.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,2016-08-27 08:29:15.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,2016-08-27 08:32:15.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,2016-08-27 08:39:12.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2016-08-27 09:43:13.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
38,2016-08-27 09:55:19.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2016-08-27 10:08:48.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,2016-08-27 10:47:47.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2016-08-27 15:13:58.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42,2016-08-27 15:34:39.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
43,2016-08-27 15:36:38.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2016-08-27 17:47:43.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,2016-08-27 17:52:29.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2016-08-27 18:09:57.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,2016-08-27 18:40:24.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2016-08-27 18:46:18.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,2016-08-27 19:05:17.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2016-08-27 19:59:35.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2016-08-27 21:02:07.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,2016-08-27 21:42:06.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53,2016-08-28 02:55:54.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
54,2016-08-28 04:45:49.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,2016-08-28 05:25:49.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2016-08-28 06:30:24.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
57,2016-08-28 07:42:41.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
58,2016-08-28 07:48:16.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2016-08-28 11:14:44.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2016-08-28 11:40:08.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2016-08-28 16:26:15.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
