,time,Process Creation,Authorization Policy Change,Process Termination,Logoff,Special Logon,Logon,Removable Storage,Sensitive Privilege Use,File System,File Share,Detailed File Share,Registry,Security Group Management,Security State Change,Other Logon/Logoff Events,Security System Extension
0,2016-08-25 19:59:56.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,2016-08-25 20:04:56.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,2016-08-25 21:44:41.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,2016-08-26 01:11:44.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2016-08-26 01:43:43.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,2016-08-26 02:40:43.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,2016-08-26 03:22:42.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,2016-08-26 03:58:13.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,2016-08-26 04:35:09.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,2016-08-26 05:29:52.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,2016-08-26 06:34:18.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,2016-08-26 06:35:59.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2016-08-26 07:53:49.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2016-08-26 08:10:54.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2016-08-26 08:26:57.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,2016-08-26 08:56:17.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2016-08-26 09:02:58.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,2016-08-26 09:45:12.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,2016-08-26 10:08:10.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,2016-08-26 11:53:37.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,2016-08-26 12:20:10.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2016-08-26 13:21:10.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2016-08-26 15:30:18.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2016-08-26 16:45:04.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2016-08-26 16:46:55.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,2016-08-26 18:20:28.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,2016-08-26 20:50:54.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,2016-08-26 21:08:51.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,2016-08-26 21:40:45.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2016-08-26 22:18:40.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,2016-08-26 22:45:15.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2016-08-26 23:10:38.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2016-08-27 00:30:21.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,2016-08-27 01:13:52.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,2016-08-27 03:16:17.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,2016-08-27 05:28:45.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2016-08-27 05:29:55.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2016-08-27 06:21:29.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
38,2016-08-27 06:47:01.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39,2016-08-27 07:50:10.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2016-08-27 08:23:20.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41,2016-08-27 10:51:30.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2016-08-27 12:23:51.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
43,2016-08-27 13:10:15.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44,2016-08-27 13:35:02.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2016-08-27 14:32:40.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2016-08-27 16:09:59.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2016-08-27 17:32:56.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
48,2016-08-27 17:44:09.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
49,2016-08-27 18:20:57.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,2016-08-27 19:17:51.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2016-08-27 20:02:20.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2016-08-27 21:13:39.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,2016-08-27 23:43:16.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2016-08-28 02:24:34.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2016-08-28 04:58:15.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2016-08-28 05:44:11.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,2016-08-28 06:35:26.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
58,2016-08-28 07:09:38.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2016-08-28 07:38:31.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
60,2016-08-28 08:48:43.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
61,2016-08-28 08:54:00.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62,2016-08-28 09:01:10.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2016-08-28 10:31:38.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2016-08-28 11:45:53.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
65,2016-08-28 13:34:12.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2016-08-28 13:40:01.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2016-08-28 13:58:38.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
