,time,Process Creation,Authorization Policy Change,Process Termination,Logoff,Special Logon,Logon,Removable Storage,Sensitive Privilege Use,File System,File Share,Detailed File Share,Registry,Security Group Management,Security State Change,Other Logon/Logoff Events,Security System Extension
0,2016-08-25 21:10:45.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2016-08-25 22:38:30.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016-08-25 23:06:51.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2016-08-26 01:08:52.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2016-08-26 04:59:15.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2016-08-26 05:37:19.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2016-08-26 05:41:10.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2016-08-26 07:16:11.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,2016-08-26 09:03:22.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,2016-08-26 09:03:49.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,2016-08-26 09:18:39.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,2016-08-26 10:10:07.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,2016-08-26 13:32:01.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,2016-08-26 14:45:16.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,2016-08-26 16:22:25.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2016-08-26 16:45:03.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,2016-08-26 17:21:17.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2016-08-26 18:32:53.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,2016-08-26 19:06:47.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,2016-08-26 19:55:30.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2016-08-26 20:39:23.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,2016-08-26 22:17:14.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2016-08-27 00:11:22.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,2016-08-27 02:12:40.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,2016-08-27 02:22:23.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2016-08-27 02:45:03.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,2016-08-27 03:54:19.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,2016-08-27 05:04:41.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,2016-08-27 06:23:43.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2016-08-27 06:25:23.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2016-08-27 08:04:53.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,2016-08-27 08:32:19.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2016-08-27 09:12:56.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2016-08-27 09:24:45.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,2016-08-27 10:17:16.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2016-08-27 12:50:51.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2016-08-27 16:07:10.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,2016-08-27 17:01:27.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
38,2016-08-27 19:33:31.000 MDT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39,2016-08-27 20:49:28.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
40,2016-08-27 21:43:18.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41,2016-08-27 22:27:25.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,2016-08-27 22:31:56.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,2016-08-27 22:43:50.000 MDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,2016-08-27 22:45:26.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2016-08-27 22:54:55.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,2016-08-27 23:15:28.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,2016-08-28 00:26:55.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2016-08-28 01:14:27.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2016-08-28 03:03:26.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,2016-08-28 07:06:30.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2016-08-28 07:10:37.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2016-08-28 11:19:12.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,2016-08-28 13:08:27.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
54,2016-08-28 14:43:47.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
55,2016-08-28 14:46:15.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
56,2016-08-28 15:30:07.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2016-08-28 16:37:42.000 MDT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2016-08-28 17:21:57.000 MDT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
59,2016-08-28 17:32:38.000 MDT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
60,2016-08-28 17:41:44.000 MDT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
